populacao,geracao,melhor_afinidade,media_afinidade
30,10,0.880000,0.808000
30,11,0.880000,0.839333
30,12,0.880000,0.827000
30,13,0.880000,0.837333
30,14,0.880000,0.853333
30,15,0.880000,0.835000
30,16,0.880000,0.828000
30,17,0.880000,0.855000
30,18,0.880000,0.826333
30,19,0.880000,0.843333
30,20,0.880000,0.843333
30,21,0.880000,0.844000
30,22,0.880000,0.808667
30,23,0.880000,0.815333
30,24,0.880000,0.811333
30,25,0.880000,0.847333
30,26,0.880000,0.829667
30,27,0.880000,0.824000
30,28,0.880000,0.830667
30,29,0.880000,0.839000
30,30,0.880000,0.830000
30,31,0.880000,0.833667
30,32,0.880000,0.823000
30,33,0.880000,0.835333
30,34,0.880000,0.835667
30,35,0.880000,0.836000
30,36,0.880000,0.836667
30,37,0.880000,0.837667
30,38,0.880000,0.854333
30,39,0.880000,0.844667
30,40,0.880000,0.850667
30,41,0.880000,0.804333
30,42,0.880000,0.821667
30,43,0.880000,0.824000
30,44,0.880000,0.832000
30,45,0.880000,0.847667
30,46,0.880000,0.837333
30,47,0.880000,0.812333
30,48,0.880000,0.831000
30,49,0.880000,0.840333
30,50,0.880000,0.837333
35,1,0.870000,0.797429
35,2,0.870000,0.790286
35,3,0.870000,0.792000
35,4,0.870000,0.794286
35,5,0.870000,0.815429
35,6,0.870000,0.818571
35,7,0.930000,0.836286
35,8,0.930000,0.833429
35,9,0.930000,0.849143
35,10,0.930000,0.875429
35,11,0.930000,0.880857
35,12,0.930000,0.880000
35,13,0.930000,0.841714
35,14,0.930000,0.860000
35,15,0.930000,0.840571
35,16,0.930000,0.841714
35,17,0.930000,0.871714
35,18,0.930000,0.843714
35,19,0.930000,0.847429
35,20,0.930000,0.860857
35,21,0.930000,0.850571
35,22,0.930000,0.842000
35,23,0.930000,0.877429
35,24,0.930000,0.870000
35,25,0.930000,0.864571
35,26,0.930000,0.866286
35,27,0.930000,0.879429
35,28,0.930000,0.859714
35,29,0.930000,0.848000
35,30,0.930000,0.840000
35,31,0.930000,0.845714
35,32,0.930000,0.874571
35,33,0.930000,0.878286
35,34,0.930000,0.876571
35,35,0.930000,0.882571
35,36,0.930000,0.860000
35,37,0.930000,0.868571
35,38,0.930000,0.865714
35,39,0.930000,0.867429
35,40,0.930000,0.840857
35,41,0.930000,0.871143
35,42,0.930000,0.846000
35,43,0.930000,0.874286
35,44,0.930000,0.849714
35,45,0.930000,0.858286
35,46,0.930000,0.871714
35,47,0.930000,0.850286
35,48,0.930000,0.848286
35,49,0.930000,0.870286
35,50,0.930000,0.854286
40,1,0.970000,0.819750
40,2,0.970000,0.883000
40,3,0.970000,0.891750
40,4,0.970000,0.893750
40,5,0.970000,0.912250
40,6,0.970000,0.915000
40,7,0.970000,0.930500
40,8,0.970000,0.900500
40,9,0.970000,0.920000
40,10,0.970000,0.889250
40,11,0.970000,0.903250
40,12,0.970000,0.889500
40,13,0.970000,0.897500
40,14,0.970000,0.895000
40,15,0.970000,0.905000
40,16,0.970000,0.919250
40,17,0.970000,0.909250
40,18,0.970000,0.927000
40,19,0.970000,0.913500
40,20,0.970000,0.915000
40,21,0.970000,0.909000
40,22,0.970000,0.894750
40,23,0.970000,0.895750
40,24,0.970000,0.885750
40,25,0.970000,0.917250
40,26,0.970000,0.893000
40,27,0.970000,0.907000
40,28,0.970000,0.919750
40,29,0.970000,0.897000
40,30,0.970000,0.907750
40,31,0.970000,0.904250
40,32,0.970000,0.915500
40,33,0.970000,0.914500
40,34,0.970000,0.900000
40,35,0.970000,0.899000
40,36,0.970000,0.895250
